13.4,1.5,24.1,0.001,7,4.5,1.1,1.3,23,48.8,13.5,15.2,-2.6,890
12.4,6,20.9,0.001,9.3,6.4,2.3,4.7,30,63.8,13.6,16.7,2,930
4.9,4.1,6.2,14,8.5,4,1.8,3.8,81,93.1,13.6,8.4,3.1,970
6.7,2.3,12.4,0.001,11.1,7.2,2.5,1.8,49,72.6,13.6,11,-1.8,1000
11,0.4,18.7,0.001,8.5,3.8,1.1,0.4,29,51.5,13.7,13.2,-2.8,1070
19.4,14,26.5,0.001,13.4,6.4,3.4,3.5,11,39,13.8,19.5,7.3,1090
12.5,6.8,18.2,12,24.4,9.2,5.5,8.5,55,77.3,13.8,15.2,3.9,1080
12.4,6.4,18.7,0.8,23.9,9.6,4.9,-1.2,16,41.9,13.8,14.5,4,1070
16.3,10.3,24.2,0.001,6.1,4.2,1,6.9,32,56.1,14,20.5,6.2,1050
9.5,7.3,14.9,29.2,12.2,4.8,2.2,7.1,55,86.6,14,12.2,6.5,1050
12.8,7.1,20.2,1.5,6.5,3.8,1.5,7.3,39,72.4,14.1,17,5.3,1050
16.3,6.9,23.8,0.001,10.3,6.4,2.3,7.3,28,59.6,14.1,19.4,1.9,1040
10.8,4.1,15.1,0.001,11.8,6.7,2.7,5,43,69,14.1,15.6,-0.1,990
12.5,7.2,17.5,8.5,13.4,4.9,2.2,1.3,26,50.5,14.2,16.6,5.7,950
16.8,6.4,25.3,0.001,10.6,4.5,1.8,2.1,17,42,14.2,20.1,1.2,920
18.2,8.2,28.4,0.001,6.5,4.4,0.9,4.1,13,47.8,14.3,21.6,3.5,910
17,8,27,0.001,7.4,4.3,1,1.3,14,41.8,14.3,22.3,4.5,850
14.8,5.5,24.2,0.001,8.4,4.8,1.5,0.9,17,44.1,14.3,21.2,1.5,830
17.8,4.8,27.2,0.001,7.4,4.7,1.3,2.6,9,43,14.4,22.7,0.9,730
16.4,13.5,19.5,6.6,9.9,5.6,2.9,11.1,41,72,14.4,17.8,10.8,730
17.6,11,24.1,0.001,9.6,4.1,1.9,5.8,20,50.6,14.4,21.8,5.9,730
18.3,13.5,24,0.001,9.2,4.2,1.5,10.9,40,63.5,14.4,21,8.9,685
18.3,10.9,24.9,0.001,6.4,4.4,1.4,8.7,36,55,14.5,24.6,6.1,660
19.9,10.5,27.6,0.001,9.6,4,1.3,8.3,19,52.9,14.5,26.9,5.3,665
19.8,14.2,26.5,0.001,10.9,4.4,1.7,8.7,14,51.3,14.5,26.5,8.1,640
15.1,8.8,21.7,0.001,8.7,5.1,1.8,4.7,31,53.6,14.6,26.2,4.5,625
15.9,6.2,24.2,0.001,6.5,3.6,1.1,5.1,29,52.9,14.6,24.4,2.3,600
20.1,12.3,26.1,0.001,8.2,4.6,1.6,8,32,47.1,14.6,23.8,7.1,575
17.6,14.5,22.8,0.001,4.2,2.7,0.8,13.8,56,79.5,14.6,22.2,12.2,575
17.8,14.4,23.7,0.001,4.7,3.2,0.9,14.4,48,82.3,14.7,21.8,10.5,570
18.5,13.7,23.8,0.001,6.6,4.5,1.4,14.7,53,80.4,14.7,25.8,9.6,550
21.1,12.8,27.9,0.001,5.9,3.4,1.1,13.1,33,63.9,14.7,27.2,9,530
16.9,15.5,20.9,2.1,6.5,4.3,1.6,15.5,73,91.6,14.7,22.6,14.1,520
19.1,12.2,25.5,0.2,6.4,4.2,1.4,15.2,36,80.5,14.7,26.4,12.6,510
19.2,16.6,24,11.1,9.1,5.8,2.1,15.5,40,81.8,14.7,22.8,14.8,510
19.1,16.5,22.5,0.001,8.4,4,1.8,13.1,55,68.8,14.7,20.7,12.6,530
21,15.8,26.6,0.001,10.8,5,1.6,12.3,36,59.8,14.7,25.5,12,550
21.2,15.8,27.6,0.001,7.4,4.5,1.7,12.9,35,62.8,14.7,27.6,11,550
19.8,15.2,25.8,0.001,6,3.6,1.2,15.6,55,78.1,14.7,25.8,12.1,560
19.5,15.3,27.6,0.001,7.4,5,1.9,16.3,37,83.6,14.7,27.8,11.8,610
22.3,16.3,28.7,0.001,5,3.3,1.2,16.2,46,70,14.7,27.9,16,700
19,16.7,22.3,27.4,7.6,3.2,1.1,16.2,69,84.9,14.7,22.1,15.4,660
19.4,13.2,26.5,0.001,5.7,3.3,0.8,13.3,35,71.3,14.7,21.2,9.7,620
19.3,12.7,26.1,0.001,7.1,4.3,1.2,13.2,46,70,14.7,23.8,9.6,560
19.5,13.9,25.4,0.001,5.9,3.7,1.1,14.2,49,73.1,14.7,24.1,11.8,550
22.9,16.8,28.6,0.8,9.5,4.4,1.7,16.8,48,70,14.7,26.4,15.7,550
22.5,20.1,27.6,71.4,11.3,6.1,2.3,18.7,56,80.6,14.7,23.9,18,570
16.9,16.2,17.9,151.5,3.3,2,0.5,16.6,95,98.5,14.7,18.3,15.8,700
21.5,16.6,26.9,55.8,12.3,6.1,1.9,18.9,65,86.6,14.6,21.6,16.2,720
17,15,20,32.3,6.1,3.7,1.5,16.6,87,97.4,14.6,19.8,14.8,700
22.2,15.5,26.8,1.4,11,4.5,1.2,18.1,58,79.4,14.6,23.6,15.2,710
22.5,18.1,29.4,0.001,7,4.4,1.2,18.1,47,78.8,14.6,25.9,16.9,670
24,18.2,29.6,0.001,6.2,3.5,1,19.6,49,78.5,14.6,28,16.3,570
22.5,20.3,26.1,2.9,6.3,3.9,1.4,20.2,69,87.6,14.5,24.9,18.8,560
23.5,17.8,29.4,0.001,9,5,1.3,18,46,73.1,14.5,27.5,16.3,570
19.5,17.2,22.7,16,11.6,6.6,2,17,73,86.1,14.5,21.8,16.3,570
18.5,15.8,21.3,0.001,8.2,4.1,1.8,15.4,72,82.9,14.5,20.9,14.1,580
20.8,16.8,27.1,0.001,6,4,1.2,17.2,53,81.5,14.4,24.4,15.6,640
19.9,15.3,26.7,0.001,6.9,4.3,1.3,17.7,59,88.6,14.4,24.8,16.8,590
19.6,17.5,23.7,0.001,6.1,3.8,1.4,17.9,74,91,14.4,24.4,18.3,600
20.8,16.8,27.8,0.001,7.2,4.7,1.4,17.2,46,81.6,14.3,25.8,17.5,610
21.7,14.7,29.9,0.001,6.8,4.1,1.4,17,44,77,14.3,28.4,14.1,610
